pacManEaten,numActivePills,numActivePowerPills,score,pacManDistanceToUnedibleBlinky,pacManDistanceToUnedibleInky,pacManDistanceToUnediblePinky,pacManDistanceToUnedibleSue,pacManNearestGhostEdible,pacManDistanceToNearestGhostUnder20,pacManNearestGhostEdibleAndUnder40,pacManDistanceToNearestPill,numTotalActivePills,numLevel,levelTime,totalGameTime,numGhostsEaten,livesRemaining,gameOver,wasPillEaten,wasPowerPillEaten,pacManNumPossibleMoves,blinkyNumPossibleMoves,inkyNumPossibleMoves,pinkyNumPossibleMoves,sueNumPossibleMoves,distanceToNextNearestPillMOreThan10IfPillJustEaten,distanceToNearestPillAboveFive,pacManLastMoveLeft,pacManLastMoveDown,pacManDistanceToNearestGhostIfUnder10,pacManDistanceToNearestGhostIfUnder5,likelyNotStuck,reversedDirection,pacManDistanceToNearestGhostEdibleIfUnder10,pacManDistanceToNearestGhostEdibleIfUnder5
441,-69,-40,157,473,320,-79,247,-413,-119,-267,-121,181,-126,426,344,13,416,492,-207,-156,-240,-106,7,-200,446,-352,118,99,468,27,16,-204,82,-449,374
-138,-191,33,405,-490,-130,67,-442,-385,372,-420,-491,309,424,-43,444,319,435,-70,-22,49,-417,-18,-41,111,332,-185,360,-295,-51,-129,-265,-403,-200,-416,-475
-315,-298,-416,-64,222,-212,422,-117,-260,207,171,76,-349,384,363,-479,50,-341,-388,118,299,-418,-141,-47,378,76,-238,-151,-261,-438,-2,-178,-223,356,-423,-102
-138,-322,33,405,-59,-130,-475,179,-286,372,-420,-491,309,26,66,273,319,180,221,392,49,-31,-485,-41,111,-18,12,244,-295,443,-129,38,-403,-200,146,-475
28,-322,474,-64,-59,301,67,-356,-286,460,-420,-491,309,384,-1,-479,288,435,221,409,397,374,-181,-41,-130,-18,-311,244,-295,443,281,-245,174,-52,146,-102
168,-191,255,-436,-213,-130,-273,40,-75,397,420,-103,-333,384,-45,319,-232,-40,469,409,397,112,-270,168,294,332,245,-59,-474,-157,151,-345,444,-238,124,-126
-478,-239,232,-64,222,457,234,-202,290,-31,177,-151,-349,134,-45,283,-69,91,-438,-117,397,-193,74,206,489,-480,-446,371,485,-157,-2,182,174,356,337,-475
164,-239,1,89,-368,-78,422,-202,-382,32,-267,-151,77,424,-45,344,42,435,-301,69,288,344,74,439,111,373,-446,-20,174,468,151,182,-375,-200,146,-321
461,-298,-416,89,222,426,199,179,-483,-416,-274,-22,309,-278,270,210,319,229,-388,-459,498,344,-204,-14,-398,-438,-446,118,-7,-150,-2,182,-270,210,313,-180
-478,-298,-416,89,222,426,67,-360,-286,-416,-274,-22,309,134,-20,295,319,2,-388,-459,498,-389,-204,206,-398,311,-446,118,-7,-150,-2,182,-270,440,313,-430
-478,-322,-102,329,222,320,382,18,-286,-345,126,76,313,134,264,-331,319,-160,-388,-459,202,113,18,498,-207,72,-479,360,-481,91,340,182,2,-417,-348,241
461,-151,42,-64,222,426,199,34,346,-124,91,-151,315,-327,-442,286,319,3,492,-459,417,-389,15,-14,489,212,-264,360,-7,-157,118,96,174,210,-449,-180
461,-352,474,412,493,320,238,179,-286,-416,126,-22,77,396,270,210,148,229,-388,-74,498,344,-98,-38,-398,373,-83,155,-7,-157,-2,116,-270,440,146,-102
-138,-239,15,-64,222,426,382,179,-286,-124,114,-151,309,134,-181,295,319,-250,492,125,-156,344,-204,439,489,212,-264,360,-481,411,118,38,-334,210,-449,-217
461,223,33,-64,460,52,67,-360,-499,351,91,76,16,122,270,-479,319,-250,-388,-364,-156,493,-149,439,489,373,-264,397,-225,-157,118,38,174,39,146,-217
441,-298,224,328,8,320,238,179,-483,-124,114,389,-200,396,335,210,319,3,-346,-117,417,-418,-101,-300,-130,419,392,-149,-481,-101,151,-398,-334,393,-449,-430
-422,-298,-416,329,419,320,238,179,17,-139,-420,-22,333,-126,335,-331,319,3,-388,-117,498,-418,-141,-327,438,212,-83,244,-261,59,-2,343,-334,98,-449,168
-138,-298,33,412,222,285,-99,240,-499,155,-420,-22,313,-83,237,106,-207,229,-388,-342,498,-418,-207,439,-130,212,-479,394,-225,-157,-185,-304,-223,370,-172,176
-466,-151,33,-297,460,-479,-456,-215,-499,351,5,-22,315,-327,270,295,319,3,164,-117,-9,161,196,27,438,267,-446,360,237,209,151,116,174,-46,146,-102
461,61,-416,303,460,314,238,240,-499,351,-420,-22,315,-126,270,-107,-299,-293,-418,-342,498,161,168,-300,489,-143,347,360,-261,91,-344,214,-334,-426,146,-102
-138,-298,442,187,493,-479,-99,240,-499,-425,5,87,309,-488,237,106,12,-77,-388,-342,-1,493,15,439,489,-143,-83,360,-481,-157,151,116,174,210,-449,-46
326,-151,232,329,460,-479,238,179,-218,-139,-420,389,-257,-356,335,-220,-38,3,-388,-308,245,109,-373,-327,383,-84,467,-465,-481,-157,151,38,-270,98,-449,-102
270,-151,224,-64,222,320,378,179,121,-222,171,-381,309,-126,237,-107,-197,-98,466,-140,-193,-136,-485,-300,195,361,-264,244,-130,209,-287,116,174,39,-449,-88
-498,-59,442,228,497,44,238,240,-499,155,171,-381,16,-269,-333,-220,12,3,-388,-117,-231,-1,32,-236,-398,373,-147,244,237,-157,-173,261,174,-70,-172,-88
143,-151,33,460,497,320,378,179,176,-222,-384,389,333,-6,-333,173,319,-98,-388,-140,-231,161,196,307,174,361,-147,244,-481,-157,-2,38,252,-200,-449,-88
461,-59,-416,412,-113,314,326,179,-483,462,-384,-22,309,122,270,173,-207,3,-388,14,-231,493,374,-38,490,373,-147,360,448,424,-287,261,174,-200,-449,-88
-138,-239,246,328,497,314,50,179,-483,-124,-384,-22,309,-126,395,-331,319,228,-388,-342,129,-418,84,-300,438,-143,-147,360,237,-157,151,-197,-223,98,-449,171
276,-151,246,412,-113,320,238,179,-483,-222,-384,389,309,-126,118,-331,-207,-60,189,-117,407,-255,84,-300,-130,58,-147,-310,237,-157,151,261,379,39,446,-102
-280,-151,-416,412,-85,464,50,179,-499,-226,-321,389,309,-126,198,-331,-269,3,-388,-372,498,161,196,-38,112,373,-264,360,279,424,-353,38,451,-70,146,-102
461,-151,-416,-412,222,314,50,240,-322,-478,-384,389,309,122,237,-331,-197,3,-388,-140,498,489,41,360,490,373,-264,360,279,424,151,38,397,-58,146,-88
461,-151,246,-499,222,314,326,179,-499,-124,-30,-22,309,-454,237,-331,294,-344,-388,477,-156,149,84,-38,334,203,-264,-14,279,355,151,116,174,39,-449,94
276,-239,33,-280,222,314,326,179,135,-222,-384,-455,333,-126,493,173,-317,-60,463,-65,-326,489,349,360,68,203,-264,360,-481,-464,-2,261,174,39,-268,-88
473,-151,-291,-412,222,314,-99,179,433,292,-30,303,-123,-126,237,158,-459,-344,-388,-117,498,396,374,371,310,203,-147,244,279,355,-287,116,174,-70,-449,94
-258,-376,33,-209,192,314,-270,-260,-372,-120,-30,96,309,-219,237,-270,319,3,-418,-117,-231,493,84,307,-398,361,-330,244,333,-157,-433,116,-223,-346,-449,-231
473,-239,246,412,192,314,-40,179,-286,-222,454,-37,-57,-68,270,-331,-287,3,-388,-117,498,-418,84,94,310,373,-147,-491,237,-13,151,-197,397,39,-449,94
-87,-376,-416,-499,192,314,-270,380,-286,257,171,389,-123,-68,270,158,-287,-334,-388,-117,-183,-418,374,94,438,-203,-296,244,237,-13,151,241,174,39,165,-88
461,-239,-416,-78,-113,314,-323,240,-286,-222,454,-455,309,122,237,-371,-78,-91,-12,-91,498,-418,18,-38,112,226,-147,-363,237,113,-287,261,174,39,-144,46
