pacManEaten,numActivePills,numActivePowerPills,score,pacManDistanceToUnedibleBlinky,pacManDistanceToUnedibleInky,pacManDistanceToUnediblePinky,pacManDistanceToUnedibleSue,pacManNearestGhostEdible,pacManDistanceToNearestGhostUnder20,pacManNearestGhostEdibleAndUnder40,pacManDistanceToNearestPill,numTotalActivePills,numLevel,levelTime,totalGameTime,numGhostsEaten,livesRemaining,gameOver,wasPillEaten,wasPowerPillEaten,pacManNumPossibleMoves,blinkyNumPossibleMoves,inkyNumPossibleMoves,pinkyNumPossibleMoves,sueNumPossibleMoves,distanceToNextNearestPillMOreThan10IfPillJustEaten,distanceToNearestPillAboveFive,pacManLastMoveLeft,pacManLastMoveDown,pacManDistanceToNearestGhostIfUnder10,pacManDistanceToNearestGhostIfUnder5,likelyNotStuck,reversedDirection,pacManDistanceToNearestGhostEdibleIfUnder10,pacManDistanceToNearestGhostEdibleIfUnder5
-447,110,-103,306,-192,-78,111,439,147,496,478,-214,300,-365,-286,111,-296,-389,-144,453,-236,-28,-340,113,-20,392,-433,-377,-421,-242,150,-420,375,-90,-103,-208
167,-113,-100,379,315,-323,334,-120,152,-492,282,-438,-157,-368,-478,475,-166,24,-47,85,32,172,-378,188,431,25,-26,-221,465,431,454,314,159,251,454,136
-69,-26,-100,462,-137,-83,-22,383,-368,-473,-195,-438,-363,92,-478,-465,-184,-159,-47,-44,206,41,228,-184,461,300,135,335,-349,421,-256,-474,257,226,-346,-60
490,16,-368,498,-391,-108,235,-120,152,-492,-195,-114,-16,92,-281,-465,-166,-159,-35,-397,-280,-59,259,182,431,-220,189,-383,465,431,477,-474,257,361,-4,-480
241,-26,-42,443,-448,97,-97,23,-316,-492,-130,-280,-157,-396,-315,357,153,274,182,-467,32,323,-378,231,255,25,-93,-350,316,232,454,265,443,226,332,-480
184,-247,-54,467,-448,195,-22,-332,306,-492,-151,-280,-98,-396,-468,-394,268,-235,413,194,32,323,-496,-493,-348,25,-93,-184,316,-13,454,-124,159,-447,331,-380
384,-313,-368,168,-284,97,-22,-120,84,-438,-130,-492,261,145,-478,185,-166,-69,260,-397,32,323,-378,-406,431,-220,-93,223,-257,431,-448,383,159,251,-274,-380
319,22,-126,446,-284,-108,235,-120,-232,-438,-12,-438,-271,430,323,115,-169,319,260,24,496,-250,1,-406,-20,25,-87,-221,442,-78,477,-415,159,251,278,65
319,22,148,446,58,-108,334,-1,-232,-438,-195,-438,437,92,323,115,-169,319,450,24,496,2,1,134,-412,404,-87,-221,442,452,-385,-415,159,251,278,65
-388,-423,-54,467,360,-108,334,-120,356,-438,-12,-499,-157,487,-377,24,-169,319,264,-20,-280,-158,-496,-229,396,496,-93,-383,-257,431,404,-497,159,88,454,107
-399,337,-68,498,-15,195,-22,-120,471,390,-153,-492,-157,350,-468,129,-296,-69,-215,453,-332,323,-58,-406,-348,-276,-93,-8,-257,-78,454,-420,-352,88,331,-275
319,5,148,498,58,-108,334,-154,-232,-438,-380,-477,-171,92,323,475,-166,42,-144,-376,369,-494,55,134,-155,496,75,-8,90,-263,-385,486,159,226,-274,-480
167,16,-368,498,-15,197,-22,-120,306,482,-439,288,437,92,-468,-465,-166,-36,-120,-440,26,-96,-496,-80,453,25,-243,-221,-428,-196,454,-235,253,119,454,304
-399,22,148,498,58,-78,-22,-53,152,-438,-12,-477,-171,430,323,129,-296,-69,-144,-376,-404,323,55,134,-155,-276,-87,-221,-257,-78,477,314,300,29,278,-480
319,22,-356,446,-213,206,479,-53,-415,-381,-12,-499,-404,326,-210,-465,139,-36,450,-385,-404,472,55,-80,-155,496,-26,-221,-124,452,236,314,193,88,454,-405
319,-113,148,446,58,-108,-22,-53,471,-438,-12,-492,-171,133,323,475,-296,42,-481,24,234,-494,-496,-47,-65,496,-93,-184,90,-263,-385,314,159,29,454,-405
-447,-40,141,467,28,-174,-260,112,-232,308,-12,-477,-363,326,-468,-394,-81,42,-144,-440,-146,2,55,-493,396,496,-26,-429,316,124,477,383,219,88,278,-405
319,-113,-384,467,58,-108,-22,112,471,-492,-195,-492,-171,-30,323,115,-166,-69,273,-376,-280,-154,-496,-80,-155,496,-93,-184,-498,-306,-385,-420,159,119,123,-405
-388,-40,148,467,-282,-108,269,112,-256,-438,-483,-492,-363,326,-376,-465,-296,42,-144,-440,-146,-468,-292,134,63,14,-93,-108,316,452,-385,314,219,-338,-274,77
319,-268,141,467,28,-78,334,-53,-232,-438,-12,-477,-157,326,-468,-465,-166,42,260,-376,-16,-126,-292,-80,396,496,-87,-429,447,124,-323,45,219,251,242,77
319,230,-100,467,58,-78,-260,-24,-392,-492,214,-477,-363,350,-377,115,341,42,260,24,-280,-473,-496,-80,-155,496,-93,-429,316,459,389,-420,159,251,454,-480
319,-113,148,498,28,-78,-22,112,-232,-492,214,-477,-171,350,-377,115,-296,42,-395,-51,-280,2,-26,-80,308,496,-26,-429,316,431,-161,-420,159,119,242,-405
-439,-332,148,498,28,-174,-381,112,471,-436,424,-477,206,-157,-238,115,-166,42,260,-376,-392,-457,-496,35,-65,496,-93,-429,-496,431,36,45,219,251,123,265
319,-225,148,498,486,-78,-260,-98,-232,-492,214,-492,-171,-87,323,-152,-296,-69,339,-376,-404,2,-26,-464,308,3,-26,-455,316,431,389,314,219,119,278,-480
-439,-40,141,467,58,-174,63,-53,147,-438,-483,-477,361,92,-377,-465,-166,42,260,-376,-280,-154,-496,134,-155,496,-93,-184,-498,28,329,314,219,251,123,-480
9,-40,-71,467,58,-174,63,128,147,-492,-483,-477,-363,92,-238,383,-183,-69,260,-376,-146,-154,-85,134,363,496,-93,-224,-498,28,329,314,219,251,-134,-480
-439,22,148,498,28,-174,63,-53,471,-492,-195,-477,-363,-157,241,-122,-166,374,-9,92,-404,399,468,-80,115,496,-26,-140,-498,-175,36,383,219,399,242,-480
319,-113,-100,498,82,-108,-22,112,471,-438,-276,-492,-363,-356,-377,115,-296,42,260,-237,-146,164,-496,134,308,-276,282,-184,447,22,-20,314,159,251,123,156
319,-122,449,498,58,-108,-22,112,305,-438,127,-492,-363,305,-238,129,124,42,260,24,-404,-92,-496,134,384,496,-93,-184,447,-46,246,340,159,251,-134,-405
382,384,-160,467,58,-108,-22,321,147,-438,-12,-477,-363,339,-238,129,-254,42,260,24,-97,164,256,134,384,25,-93,-184,447,431,477,340,159,119,123,420
319,-113,-100,498,58,-108,-22,112,471,-352,-195,-492,-171,350,-238,129,-296,42,260,-439,-280,-235,-85,-285,-247,-498,-26,-184,447,-330,477,340,159,251,-134,-405
382,-122,141,498,58,-108,-22,-53,471,-438,-12,-492,369,339,-238,-122,-166,77,73,-428,-404,-92,-85,134,308,496,-26,-136,447,22,-99,-84,159,251,179,-480
319,-113,148,498,58,-108,-22,112,471,-438,127,332,412,305,-238,-465,-166,132,66,-376,-404,-154,277,26,159,496,-93,-300,444,145,56,314,152,251,320,-480
319,-113,-100,498,58,-108,-22,112,471,-492,-310,-492,-110,305,111,115,-296,42,273,-439,-404,-468,-85,134,-155,-498,-26,163,447,145,56,314,159,251,-134,-405
-439,-113,-100,498,58,-108,78,112,471,-492,198,-492,-110,305,241,115,-296,42,172,-439,-404,-86,-212,175,159,-498,-26,-184,447,-330,477,-361,159,251,127,-480
-183,162,-100,498,58,-108,-22,112,147,-492,-12,-492,316,305,490,-204,90,42,66,-402,-280,-468,-212,26,363,-276,-26,-184,447,145,329,314,152,251,-376,156
319,-113,-357,498,58,-108,78,112,471,299,-12,-492,-171,305,241,-122,59,42,172,-439,-171,-373,-387,134,159,-401,-26,302,447,431,-493,-167,152,251,-134,156
319,-113,-100,498,58,-108,63,112,471,-492,-12,-492,-86,-38,241,-204,-59,42,172,-439,322,-373,-496,-390,363,-276,-26,-184,447,28,477,340,152,251,320,-179
-439,162,-100,498,58,-108,78,57,471,-492,198,-492,21,305,-338,129,-166,42,13,24,-404,-86,-85,134,-412,108,-26,-184,38,431,477,340,152,119,127,-480
-439,162,-100,498,31,-108,78,112,471,82,146,-492,21,-317,-338,-204,-59,64,13,24,-404,-86,-85,134,-412,-498,-107,-184,38,22,-259,340,159,251,127,339
-183,-70,141,498,58,-108,-22,112,471,-492,-12,-492,-280,-152,241,-465,-166,42,260,-131,-404,-154,-212,134,159,-276,-26,302,38,-399,329,340,152,135,179,-82
-439,-113,-195,498,58,-108,78,112,471,-492,-12,-492,-363,305,241,-204,495,42,172,-439,-146,-373,353,-390,225,-276,-26,-184,38,28,477,340,171,251,179,-480
437,-113,141,498,58,-108,78,112,471,-492,-12,-477,-171,-152,-135,-465,59,42,-285,-131,-404,-483,233,134,159,-276,-26,-184,38,28,419,28,152,471,179,-82
319,-70,141,342,58,68,63,63,-235,-407,-12,-454,469,-152,241,-465,-254,42,172,-439,-404,-86,353,134,308,-401,-26,-184,38,-399,419,-167,159,251,-103,156
207,-113,353,498,58,13,78,112,-234,-350,-12,-492,-86,-38,-362,129,-254,64,-274,-438,166,-92,-85,478,225,56,-26,-184,447,22,-493,28,152,251,82,-480
319,-70,-128,498,58,-108,-22,63,327,-492,-12,-454,-79,347,241,-256,-254,42,172,-439,174,-86,353,-390,225,-401,-26,-184,38,-160,419,-167,159,251,-47,156
207,-113,353,498,58,-108,-433,112,-234,-350,-12,-477,469,-472,241,129,-254,64,172,-444,-146,-92,-85,-159,159,56,-26,-184,447,-232,-493,28,159,251,82,156
-123,-253,141,498,58,89,63,63,-234,-407,-12,-495,-171,-38,241,-465,-306,42,-41,-439,380,-92,-85,-313,384,-276,-26,-184,21,-244,419,-167,152,251,-134,295
319,-113,283,342,58,-108,78,63,-235,-492,-119,-477,-171,-38,-238,-204,-254,42,172,-361,174,-373,353,-390,159,-276,103,161,38,-244,-459,28,159,135,320,156
207,-113,353,498,58,13,-22,134,-235,-350,226,-492,469,305,241,-122,-254,42,-334,-439,-146,-302,-85,134,159,-314,-94,329,233,-232,419,28,152,251,161,295
319,-113,353,496,58,-108,78,112,327,-429,-12,-454,-86,295,-238,-465,-166,64,172,-85,166,-69,-85,-165,336,-137,-26,-184,38,12,-459,340,159,251,320,156
386,-113,-338,498,-15,-108,78,63,327,-492,-12,-492,-86,-38,328,-204,-306,460,172,-361,-404,-433,353,-313,357,-276,130,-184,38,-244,-459,28,152,251,320,344
-162,372,353,498,58,-191,78,112,-234,-492,-12,-477,-397,-38,241,-424,-166,281,172,-439,166,312,353,148,115,-401,-26,-184,233,22,419,314,152,466,-103,-143
319,372,125,498,-15,-108,-22,112,-42,-350,-12,-492,-86,-38,241,-465,-240,42,-41,66,166,-69,353,-313,405,-401,-26,-184,38,22,-493,-167,159,251,-245,327
386,-234,353,498,58,-108,-22,112,327,-492,-12,-477,469,125,241,241,-166,42,172,-439,76,-69,353,-165,225,-276,-26,-184,447,-406,-493,-167,152,251,389,344
386,-113,125,498,58,89,78,112,-139,-350,-144,-477,-86,-38,476,-465,-166,42,-41,-439,76,-69,353,-390,225,-276,-26,-184,38,-406,-493,314,159,251,161,156
386,-182,283,498,58,-108,78,63,121,-492,-12,-454,-341,-152,17,-377,-302,42,172,-439,-146,-69,-85,148,357,-438,-26,-184,8,12,-259,47,152,251,161,344
386,-113,353,498,58,-108,78,63,177,-350,-463,-492,469,321,372,-465,-166,42,182,-439,166,-69,-85,-165,-378,-276,-26,-184,38,-353,329,-167,159,251,295,156
-162,-113,-440,498,58,-108,-110,48,-234,-350,-229,-113,469,-152,207,-377,-166,42,172,-439,76,42,353,-313,-185,-276,-26,-184,233,22,475,-167,159,251,82,-85
386,-113,353,498,58,-108,-119,48,80,-350,473,-477,469,-457,207,-465,-166,42,172,-439,370,-482,353,370,357,-276,-26,-184,233,-353,-116,-167,159,251,82,100
386,-113,353,498,91,-108,78,112,327,-350,298,-477,469,167,372,158,-254,42,172,-444,227,-435,-85,-313,-14,-438,-26,-184,233,214,329,351,152,251,389,344
386,415,141,498,147,-108,-110,48,-35,-492,298,-477,-86,167,372,-465,-166,42,172,-439,166,39,-85,165,450,-276,-26,-184,303,-353,-259,-167,159,251,5,-143
386,-182,353,498,58,-108,78,112,-197,-350,-12,-477,469,321,199,-377,-98,-152,172,-439,-146,-482,-85,-436,196,-438,-26,-184,385,214,-459,-167,159,251,5,-387
307,-182,141,498,36,-108,-110,63,293,-492,-443,-477,311,334,-300,-377,-302,47,-88,-444,76,-69,-85,-313,220,-276,-26,-184,263,-132,475,-167,159,251,5,-143
-162,-113,141,498,58,89,78,63,121,-286,-338,-334,469,-152,-85,199,-175,42,-41,-439,166,-373,387,62,450,118,-26,-313,303,-132,329,47,159,251,82,138
386,-113,141,498,58,89,78,63,121,-286,-338,-415,469,-457,207,199,300,486,-41,-439,166,190,353,62,450,-276,-26,-445,303,-132,329,-471,159,251,-79,156
253,-182,141,498,58,89,-110,112,177,-346,85,-477,-86,334,119,-377,-302,42,-387,-439,-329,-69,-63,-164,234,-294,-26,-172,263,-400,-437,-90,159,104,161,156
386,-113,141,447,58,89,78,-28,327,-286,-12,-415,-164,334,170,-377,192,42,366,-444,166,-69,353,-164,450,-438,46,-184,385,-406,-493,-90,159,444,-32,-343
-162,-182,141,498,58,89,-110,57,327,-346,-338,-477,469,334,-300,-446,-302,-483,-41,-439,166,-373,-63,-164,-185,-276,-26,-184,263,-295,460,47,159,251,5,138
333,-182,141,434,58,89,-110,57,177,-492,-486,-477,-86,334,-300,-377,-302,-152,-41,-439,-198,-482,-63,-164,450,-276,-26,-184,263,-295,460,47,159,251,82,138
-31,-181,-240,498,58,-108,-22,112,327,-492,-12,-492,469,321,207,-429,162,486,151,-439,166,42,353,150,450,-276,-26,-445,153,-162,20,343,152,133,161,-343
28,-182,141,498,58,-108,-22,63,327,-492,85,-492,469,321,119,-377,411,-483,-387,-439,166,-482,353,290,32,-276,-26,-184,303,-162,460,-61,113,104,5,138
-314,-182,-240,498,58,89,-22,57,121,-492,-486,-454,-164,321,-85,467,-302,22,-387,-440,166,-69,-470,-164,32,-438,-26,-184,-228,267,20,-185,152,133,-89,-343
-31,-181,323,498,58,89,-22,112,146,418,85,-477,-411,11,-234,-145,162,42,-387,-439,76,245,353,-164,-185,149,-26,-184,-279,214,-459,-61,152,104,5,138
-313,-182,141,498,36,-108,-22,112,121,-492,-12,-477,-86,321,-234,-377,411,-483,-3,-440,166,42,-470,-144,450,-276,-137,-466,8,-162,20,-385,152,444,161,-343
124,-181,-376,498,58,6,-110,57,121,-492,-486,387,469,321,119,-446,162,42,151,2,166,-482,118,-164,450,-294,-26,-445,8,-162,460,-185,91,251,161,-260
-31,-182,141,498,-56,-108,497,112,177,-492,-47,-258,469,321,-234,-446,-302,-321,151,288,-246,-482,-470,-144,-290,-294,-137,-466,8,-162,20,-185,120,444,161,-343
362,-182,141,498,58,89,-138,57,177,433,-360,-454,469,334,-234,-429,-302,42,-387,-440,-329,-482,-462,-199,287,422,-26,-184,8,-162,460,-185,152,251,161,-260
-31,-182,-298,498,58,89,-157,112,177,-492,-12,-258,469,321,-234,181,-302,486,-387,-439,345,218,65,-177,450,-438,-26,-184,263,-162,374,-61,152,118,161,-343
253,-182,359,498,58,89,-138,112,-291,-492,-360,-454,469,143,256,-429,162,42,-387,-440,166,-482,-470,-199,287,422,-26,-184,8,-57,460,-185,120,251,5,-443
362,-181,-42,498,58,-108,-110,112,177,-492,-12,-454,-86,321,256,410,-302,159,151,162,166,-482,-63,238,-290,149,-26,-445,263,-253,372,343,137,444,377,-443
362,-181,-42,498,58,-108,209,17,177,-492,-47,-258,-86,237,256,-377,-302,486,-48,-440,345,6,-488,238,450,-399,-26,-445,-375,-57,295,47,152,444,-399,-343
-393,46,-60,498,58,-108,-138,112,327,-492,-47,-258,-86,-276,256,-377,-302,42,151,-297,414,-482,-470,-177,450,-276,-26,-445,263,-322,374,76,152,251,5,-343
-76,-182,141,498,58,-108,-138,17,177,-492,-360,-492,469,-276,-385,-429,-302,-223,-387,-440,345,-499,-433,-144,259,-438,-26,-445,303,318,20,48,152,104,161,138
124,-229,141,498,58,243,209,17,-271,-400,-360,-245,349,-254,-450,-377,494,42,240,-440,-329,-482,208,-199,450,392,-26,-445,263,-368,20,47,120,352,5,-443
-31,-229,141,498,58,200,-138,17,-271,-400,-360,-245,349,321,256,-377,-302,42,240,-440,222,6,-405,-144,-350,392,-33,-466,8,-368,295,47,120,352,-99,373
-31,1,-60,498,58,243,-22,112,177,-383,-12,-454,-71,203,256,-70,411,85,240,-440,2,-482,-470,238,450,149,-26,-445,263,318,-485,47,212,203,161,-343
-106,-181,-470,318,-4,-108,-138,112,177,-383,-12,-454,-86,321,256,-70,-302,22,-387,-439,2,-227,-470,-199,450,149,-26,-445,8,-322,-459,-300,212,352,5,-443
-106,67,457,498,58,89,209,-229,367,-492,-360,-245,-86,-276,-246,-377,162,-145,-48,188,166,-69,218,113,128,392,-26,-466,232,-322,-459,-61,137,251,161,95
467,-182,141,498,58,89,-242,112,177,-492,-360,-245,-151,-254,-385,-377,411,42,240,-137,166,-69,-405,-263,450,-130,-26,-445,303,204,-18,-21,152,352,5,138
467,-182,141,498,58,89,-242,112,177,-492,-360,-245,-151,-254,-385,-377,411,42,240,-137,166,-69,-405,-263,450,-130,-26,-445,303,204,-18,-21,152,352,5,138
-106,-182,-60,498,58,89,-242,57,177,-492,-215,-245,-205,-254,-385,-377,-318,42,-368,-137,166,-69,-167,-263,450,-130,-26,-445,303,-44,-18,-21,137,352,316,138
253,-181,-60,498,58,-14,-138,57,177,-49,-12,-245,126,-369,-229,-297,-179,-10,-289,-85,166,6,-167,-144,450,-495,-26,-445,430,-44,-459,4,137,251,5,95
330,-182,32,498,58,200,-242,112,454,-491,121,-245,-86,391,-385,-377,-57,276,151,-49,-35,318,218,28,-457,-130,-26,-445,-218,-93,-459,-282,152,251,5,-443
124,-181,141,498,-87,393,-242,-229,177,-491,121,-454,-86,372,235,-377,105,42,-368,-248,268,-69,-234,-81,450,382,-26,-445,-218,-133,156,-21,137,352,-274,-443
253,-182,457,498,58,-14,-138,-154,74,-492,121,-245,-151,68,-234,-70,162,22,-289,-137,-195,108,-458,-327,-130,149,-26,-445,232,204,-459,-21,137,251,316,95
-394,-44,141,498,58,89,-225,112,-249,-492,-360,-245,-86,-189,-246,-297,411,42,17,-439,-85,108,-405,-263,450,-8,-26,-445,194,102,448,-185,137,251,161,95
467,-181,-263,498,58,-14,-242,57,-249,-428,-12,-245,-86,-214,394,-377,-194,384,290,-439,166,255,218,-144,450,-130,-26,-243,232,-44,-357,48,137,306,211,255
124,-182,141,498,58,-14,101,57,-447,-492,-260,-245,-151,-254,394,-377,-392,-10,290,-439,166,-69,59,411,-493,406,-26,-445,189,-150,-357,48,-93,7,45,138
467,410,-293,498,104,89,-242,112,-249,-383,121,-245,-86,-189,394,-70,-194,-83,290,188,268,363,218,-263,450,-130,-26,-466,303,204,-459,48,137,352,316,-355
